"rt","url","experiment_phase","trial_type","trial_index","time_elapsed","internal_node_id","experiment_name","workerId","assignmentId","hitId","experiment_start_time","experiment_end_time","total_time","ip_address","version_date","anon_id","demo_mode","completion_code","page_rt","gem_values","response","correct_answer","gem_colors","gem_color_names","phase","gem_weights"
"33623","src/html/instructions.html","instructions","render-mustache-template","0","33704","0.0-0.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","","","","","","","",""
"7517","","","wizard-gem-trial","1","43757","0.0-1.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","9534","[59,42,68,57,87]","62","52.666666666666664","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"6570","","","wizard-gem-trial","2","52858","0.0-2.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","8578","[89,72,93,37,90]","47","66","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"6570","","","wizard-gem-trial","3","53660","0.0-3.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","9380","[89,72,93,37,90]","47","66","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"2157","","","wizard-gem-trial","4","58338","0.0-4.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","4159","[54,75,99,45,75]","54","58","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"2853","","","wizard-gem-trial","5","63719","0.0-5.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","4859","[7,100,49,15,94]","17","40.666666666666664","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"3740","","","wizard-gem-trial","6","69998","0.0-6.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","5756","[36,57,69,31,67]","43","41.33333333333333","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"3504","","","wizard-gem-trial","7","76038","0.0-7.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","5518","[98,2,70,71,33]","75","56.99999999999999","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"3504","","","wizard-gem-trial","8","76599","0.0-8.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","6078","[98,2,70,71,33]","75","56.99999999999999","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
"3618","","","wizard-gem-trial","9","82739","0.0-9.0","wizard_gems","","","","2019-08-14T20:01:21Z","2019-08-14T20:10:17Z","536148","150.135.165.121","2019-08-10","06j53w2l9wn7ont","false","4954162651-exa-5929656457-mple","5619","[75,6,82,24,27]","53","35","[""#38A600"",""#005BA8"",""#DA7100"",""#FF4100"",""#6F9CA4""]","[""green"",""blue"",""orange"",""red"",""grey""]","learning","[0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0]"
